Sample	aligner	var_caller	cpu_time	wall_time	compute_efficiency	num_task_threads	cost_per_task	per_vcpu_seconds	theoretical_min_cost_per_task	Fscore(all)	Fscore(SNPts)	Fscore(SNPtv)	Fscore(SNPall)	Fscore(INS50)	Fscore(Del50)	Fscore(Indel50)	YieldBases	WgsCoverageMedian	WgsCoverageMean	cost_per_vcpu_sec	cost_per_vcpu_sec_gb
RIH0_ANA0-HG002-19	bwa2a	alignstats	33529.6	814.0332	1.2872	32.0	0.111234	1047.8	0.08641547545059043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108217195670.0	31.0	30.48771	3.3174866386715023e-06	3.065581784976135e-08
RIH0_ANA0-HG002-19	bwa2a	deep	187565.98	93876.14529999999	0.12398950649437243	1536.0	27.970056999999997	122.11326822916668	225.5840658682635	0.9968819982728919	0.996962541543269	0.996589076058741	0.996775808801005	0.9962473362030173	0.997727543601764	0.9991493426059964	108217195670.0	31.0	30.48771	0.00014912116259035884	1.3779802892425004e-06
RIH0_ANA0-HG002-19	bwa2a	dysgu	70049.2	1893.5329	0.5786048008542567	64.0	0.49572700000000003	1094.51875	0.8567626802752151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108217195670.0	31.0	30.48771	7.076840277976052e-06	6.539478531264413e-08
RIH0_ANA0-HG002-19	bwa2a	goleft	14.72	6.5109	0.14129999999999998	16.0	0.000427	0.92	0.0030219391365888188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108217195670.0	31.0	30.48771	2.9008152173913045e-05	2.68054924121035e-07
RIH0_ANA0-HG002-19	bwa2a	manta	175.36	654.174	0.0021	128.0	0.393631	1.37	187.44333333333336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108217195670.0	31.0	30.48771	0.0022447023266423355	2.0742566028853514e-05
RIH0_ANA0-HG002-19	bwa2a	mosdepth	8686.56	1639.8129	0.3311	16.0	0.107423	542.91	0.3244427665357898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108217195670.0	31.0	30.48771	1.2366575491333739e-05	1.1427551245224149e-07
RIH0_ANA0-HG002-19	bwa2a	mrkdup	34501.119999999995	569.1133	0.3866154800771685	192.0	0.528215	179.6933333333333	1.3662541393701262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108217195670.0	31.0	30.48771	1.5310082687170737e-05	1.4147550758806996e-07
RIH0_ANA0-HG002-19	bwa2a	norm_cov_eveness	58.88	1742.0969	0.0021	16.0	0.114123	3.68	54.34428571428572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108217195670.0	31.0	30.48771	0.0019382302989130434	1.7910557438796765e-05
RIH0_ANA0-HG002-19	bwa2a	qmap	214604.16	2524.9104	2.6561	32.0	0.331839	6706.38	0.12493467866420692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108217195670.0	31.0	30.48771	1.5462840981274548e-06	1.4288709742975868e-08
RIH0_ANA0-HG002-19	bwa2a	samt	2751.6	2263.255	0.152	8.0	0.074132	343.95	0.4877105263157895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108217195670.0	31.0	30.48771	2.6941415903474344e-05	2.489568846861465e-07
RIH0_ANA0-HG002-19	bwa2a	sentd	7650683.84	1531.5699	59.53186465552653	192.0	0.6870999999999999	39847.31166666667	0.011541718102999386	0.9964137543070107	0.99644822237953	0.9959017209622643	0.9961749716708972	0.9971714004216414	0.9972568890619196	0.9990059494666251	108217195670.0	31.0	30.48771	8.980896536433009e-08	8.298955152949593e-10
RIH0_ANA0-HG002-19	bwa2a	tiddit	207.36	2153.9370000000004	0.0015	64.0	0.564541	3.24	376.36066666666665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108217195670.0	31.0	30.48771	0.002722516396604938	2.51578908485768e-05
RIH0_ANA0-HG002-19	bwa2a	vb2	9300.8	2869.1484	0.2026	16.0	0.187956	581.3	0.9277196446199408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108217195670.0	31.0	30.48771	2.0208584207810085e-05	1.867409710877614e-07
RIH0_ANA0-HG002-19	fastqc	unknown	141116.48	2466.9625	1.7876	32.0	0.323218	4409.89	0.18081114343253524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2904341151366585e-06	0.0
RIH0_ANA0-HG002-19	sent	alNsort	53608.31999999999	1889.3145	0.1478	192.0	1.705001	279.21	11.53586603518268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108263011184.0	31.0	30.490135	3.1804783287370325e-05	2.937733113049667e-07
RIH0_ANA0-HG002-19	sent	alignstats	27473.92	1376.6676	0.6237	32.0	0.180369	858.56	0.28919191919191917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108263011184.0	31.0	30.490135	6.565098828270593e-06	6.064027553337475e-08
RIH0_ANA0-HG002-19	sent	deep	21090.320000000007	120855.31640000001	0.01835189767944093	1536.0	35.42893300000001	13.730677083333338	1930.5323960960156	0.9969631114164075	0.9970365038909815	0.9967053084536895	0.9968709061723355	0.9963199089952121	0.9977375071261574	0.999179435152998	108263011184.0	31.0	30.490135	0.0016798670195615805	1.551653700733058e-05
RIH0_ANA0-HG002-19	sent	dysgu	76518.95999999999	2299.5182	0.5214318879399302	64.0	0.60108	1195.6087499999999	1.1527488324021435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108263011184.0	31.0	30.490135	7.855308017777556e-06	7.255763470708339e-08
RIH0_ANA0-HG002-19	sent	goleft	17.92	3.7711	0.297	16.0	0.000247	1.12	0.0008316498316498316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108263011184.0	31.0	30.490135	1.3783482142857141e-05	1.2731478639025862e-07
RIH0_ANA0-HG002-19	sent	manta	162.56	499.3968	0.0025	128.0	0.262535	1.27	105.01400000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108263011184.0	31.0	30.490135	0.0016150036909448819	1.4917409679286293e-05
RIH0_ANA0-HG002-19	sent	mosdepth	8671.52	669.2528	0.8098	16.0	0.050338	541.97	0.06216102741417635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108263011184.0	31.0	30.490135	5.804979980441722e-06	5.361923631124375e-08
RIH0_ANA0-HG002-19	sent	mrkdup	42123.840000000004	1362.4086	0.23358726042070235	192.0	0.86735	219.395	3.7131733915533713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108263011184.0	31.0	30.490135	2.059047798111473e-05	1.901894077758458e-07
RIH0_ANA0-HG002-19	sent	norm_cov_eveness	159.2	2087.0021	0.0048	16.0	0.136718	9.95	28.48291666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108263011184.0	31.0	30.490135	0.0008587814070351759	7.932362102654076e-06
RIH0_ANA0-HG002-19	sent	qmap	209061.44	2589.058	2.5234	32.0	0.389473	6533.17	0.15434453515098676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108263011184.0	31.0	30.490135	1.862959520416582e-06	1.720771942367612e-08
RIH0_ANA0-HG002-19	sent	samt	2798.08	2035.9757	0.1718	8.0	0.066688	349.76	0.38817229336437714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108263011184.0	31.0	30.490135	2.3833485818847208e-05	2.2014430929083114e-07
RIH0_ANA0-HG002-19	sent	sentd	7462481.199999999	1945.9216000000004	57.89719299687509	192.0	0.712913	38867.08958333333	0.012313429427200009	0.9964456440205606	0.9964642489048787	0.9959818232835699	0.9962230360942244	0.997141991538261	0.9972789493964036	0.9990653789665761	108263011184.0	31.0	30.490135	9.55329709909353e-08	8.824156094141039e-10
RIH0_ANA0-HG002-19	sent	tiddit	39356.16	792.7553	0.7952	64.0	0.207731	614.94	0.2612311368209255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108263011184.0	31.0	30.490135	5.278233445539401e-06	4.8753802317291e-08
RIH0_ANA0-HG002-19	sent	vb2	7813.92	4517.4788	0.1081	16.0	0.295937	488.37	2.737622571692877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108263011184.0	31.0	30.490135	3.7873052194033216e-05	3.498244855730597e-07
RIH0_ANA0-HG002-19	strobe	alNsort	564464.64	1971.338	1.4913	192.0	1.779023	2939.92	1.1929343525782874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107676049873.0	30.0	30.313676	3.1516996352508457e-06	2.927020111685153e-08
RIH0_ANA0-HG002-19	strobe	alignstats	27177.6	656.367	1.2938999999999998	32.0	0.098738	849.3	0.07631037947291137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107676049873.0	30.0	30.313676	3.6330654656776174e-06	3.374070157628077e-08
RIH0_ANA0-HG002-19	strobe	deep	37836.26	125073.7047	0.4190036412866035	1536.0	37.106941	24.632981770833336	88.55994875380667	0.9956563306637056	0.9956626712623907	0.9951007723171834	0.9953817217897871	0.9959363747537198	0.99727740284104	0.9990902447390793	107676049873.0	30.0	30.313676	0.0009807243369191353	9.108100994379568e-06
RIH0_ANA0-HG002-19	strobe	dysgu	72908.08	2007.7565	0.5676927563584174	64.0	0.525853	1139.18875	0.9262985904086443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107676049873.0	30.0	30.313676	7.212547635323822e-06	6.698376884953302e-08
RIH0_ANA0-HG002-19	strobe	goleft	0.0	6.5883	0.0	16.0	0.000606	0.0	0.000606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107676049873.0	30.0	30.313676	0.0	0.0
RIH0_ANA0-HG002-19	strobe	manta	156.16	637.2261	0.0018999999999999998	128.0	0.333954	1.22	175.76526315789474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107676049873.0	30.0	30.313676	0.0021385373975409835	1.9860845564666523e-05
RIH0_ANA0-HG002-19	strobe	mosdepth	8014.88	736.599	0.6801	16.0	0.048254	500.93	0.07095133068666372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107676049873.0	30.0	30.313676	6.020551773700916e-06	5.591356463022129e-08
RIH0_ANA0-HG002-19	strobe	mrkdup	58815.04	1156.8566	0.5413592022720719	192.0	0.567841	306.3283333333333	1.0489172394535544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107676049873.0	30.0	30.313676	9.654690364913464e-06	8.966423244817044e-08
RIH0_ANA0-HG002-19	strobe	norm_cov_eveness	104.32	1889.5901	0.0035	16.0	0.17368	6.52	49.62285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107676049873.0	30.0	30.313676	0.0016648773006134971	1.546190914857259e-05
RIH0_ANA0-HG002-19	strobe	qmap	205155.2	2342.0703	2.7374	32.0	0.306855	6411.1	0.11209724556148169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107676049873.0	30.0	30.313676	1.4957212880784887e-06	1.3890937584009052e-08
RIH0_ANA0-HG002-19	strobe	samt	2699.76	2766.2193	0.122	8.0	0.090606	337.47	0.742672131147541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107676049873.0	30.0	30.313676	3.356076095652947e-05	3.116826907758334e-07
RIH0_ANA0-HG002-19	strobe	sentd	7305713.5600000005	1585.9732	60.8013799259395	192.0	0.656801	38050.591458333336	0.010802402853356805	0.9958795170527439	0.9958800845579686	0.9952763937930507	0.9955782391755097	0.9968519127015253	0.997150646171454	0.9989016208513923	107676049873.0	30.0	30.313676	8.990237498443614e-08	8.349338138840786e-10
RIH0_ANA0-HG002-19	strobe	tiddit	40010.88	1264.3009	0.4951	64.0	0.331353	625.17	0.669264794990911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107676049873.0	30.0	30.313676	8.281572412303854e-06	7.691192630182541e-08
RIH0_ANA0-HG002-19	strobe	vb2	8648.96	1914.678	0.2823	16.0	0.175986	540.56	0.6234006376195537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107676049873.0	30.0	30.313676	2.0347648734645556e-05	1.8897098062795646e-07
